[2024-12-05T07:09:32.565+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.565+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.566+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.566+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.566+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.566+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.566+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.566+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.567+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.567+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.567+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.567+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.567+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.568+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.568+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.568+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.568+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.568+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.569+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.569+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.569+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.569+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.569+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.569+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.570+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.570+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.570+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.570+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.570+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.571+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.571+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.571+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.572+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.573+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.574+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.575+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.575+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.576+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.576+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.576+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.576+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.576+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.576+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.577+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.577+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.577+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.577+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.577+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.578+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.578+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.578+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.578+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.578+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.579+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.579+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.579+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.579+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.580+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.580+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.580+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.580+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.580+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.580+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.581+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.581+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.581+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.581+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.581+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.582+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.582+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.582+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.582+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.582+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.582+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.583+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.583+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.583+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.584+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.584+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.585+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.585+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.586+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.586+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.586+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.587+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.590+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.591+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.592+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.592+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.593+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.593+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.593+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.593+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
